,precision,recall,f1-score,support
curled,0.0,0.0,0.0,0.0
markedly,0.37606837606837606,0.5301204819277109,0.44,166.0
round to irregu,0.0,0.0,0.0,0.0
slightly,0.9655172413793104,0.7903225806451613,0.8691796008869179,248.0
slightly to str,1.0,0.3076923076923077,0.47058823529411764,13.0
straight,0.9248554913294798,0.9726443768996961,0.9481481481481482,329.0
strongly,0.8256578947368421,0.5770114942528736,0.6792963464140731,435.0
undifferentiate,1.0,1.0,1.0,48.0
accuracy,0.7320419693301049,0.7320419693301049,0.7320419693301049,0.7320419693301049
macro avg,0.636512375439251,0.5222239051772186,0.550901541342907,1239.0
weighted avg,0.8283408128711418,0.7320419693301049,0.7668675056574994,1239.0
